Time (s),Linear X,Angular Z,,Time (s),,,
1744316248.30392,0.2,0,,,,,
1744316248.30706,0.8,0,,,,,
1744316248.63578,0.05,0,,,,,
1744316248.63912,0.8,0,,,,,
1744316248.95523,0.8,0,,,,,
1744316249.2687,0.8,0,,,,,
1744316249.56999,0.8,0,,,,,
1744316249.85354,0.8,0,,,,,
1744316250.11168,0.8,0,,,,,
1744316250.36503,0.8,0,,,,,
1744316250.62005,0.8,0,,,,,
1744316250.88071,0.8,0,,,,,
1744316251.13558,0.8,0,,,,,
1744316251.37744,0.8,0,,,,,
1744316251.62774,0.8,0,,,,,
1744316251.88597,0.8,0,,,,,
1744316252.14296,0.8,0,,,,,
1744316252.41236,0.8,0,,,,,
1744316252.71624,0.8,0,,,,,
1744316252.99645,0.8,0,,,,,
1744316253.3142,0.8,0,,,,,
1744316253.63639,0.8,0,,,,,
1744316253.9543,0.8,0,,,,,
1744316254.30471,0.8,0,,,,,
1744316254.30821,0.8,0,,,,,
1744316254.68458,0.8,0,,,,,
1744316255.11275,0.8,0,,,,,
1744316255.57862,0.8,0,,,,,
1744316256.07243,0.8,0,,,,,
1744316256.53747,0.8,0,,,,,
1744316256.99841,0.8,0,,,,,
1744316257.45204,0.8,0,,,,,
1744316257.85248,0.8,0,,,,,
1744316258.21827,0.8,0,,,,,
1744316258.5807,0.2,0,,,,,
1744316258.5841,0.8,0,,,,,
1744316258.89463,0.05,0,,,,,
1744316258.89989,0.8,0,,,,,
1744316259.19401,0.8,0,,,,,
1744316259.4942,0.8,0,,,,,
1744316259.76587,0.8,0,,,,,
1744316260.02343,0.8,0,,,,,
1744316260.262,0.8,0,,,,,
1744316260.42278,0.8,0,,,,,
1744316260.5926,0.8,0,,,,,
1744316260.75172,0.8,0,,,,,
1744316260.91091,0.8,0,,,,,
1744316261.07675,0.8,0,,,,,
1744316261.24622,0.8,0,,,,,
1744316261.40947,0.8,0,,,,,
1744316261.5766,0.8,0,,,,,
1744316261.75351,0.8,0,,,,,
1744316261.91328,0.8,0,,,,,
1744316262.06944,0.8,0,,,,,
1744316262.23994,0.8,0,,,,,
1744316262.41735,0.8,0,,,,,
1744316262.58421,0.8,0,,,,,
1744316262.75213,0.8,0,,,,,
1744316262.9193,0.8,0,,,,,
1744316263.0909,0.8,0,,,,,
1744316263.28889,0.8,0,,,,,
1744316263.48884,0.8,0,,,,,
1744316263.69086,0.8,0,,Time (s),,Linear X,Angular Z
1744316263.91945,0.8,0,,0,,0.8,0
1744316264.16655,0.8,0,,0.247106790542603,,0.8,0
1744316264.45878,0,0,,0.539338350296021,,0,0
1744316264.45985,0,0,,0.5404052734375,,0,0
1744316265.461,-0.2,0.2,,1.54155659675598,,-0.2,0.2
1744316268.4636,-0.3,0.5,,4.54415273666382,,-0.3,0.5
1744316269.46524,-0.3,0.5,,5.54579067230225,,-0.3,0.5
1744316270.4666,-0.3,0.5,,6.54715490341187,,-0.3,0.5
1744316271.46775,-0.3,0.5,,7.54830670356751,,-0.3,0.5
1744316272.46939,-0.3,0.5,,8.54994583129883,,-0.3,0.5
1744316273.47136,-0.3,0.2,,9.55191588401794,,-0.3,0.2
1744316274.47356,-0.3,0.2,,10.5541150569916,,-0.3,0.2
1744316275.47556,0,0,,11.5561089515686,,0,0
1744316275.47632,-0.5,0,,11.5568742752075,,-0.5,0
1744316276.47793,-0.5,0,,12.5584809780121,,-0.5,0
1744316277.479,0,0,,13.559553861618,,0,0
1744316277.47941,-0.15,-0.3,,13.5599596500397,,-0.15,-0.3
1744316279.4823,-0.15,-0.4,,15.56285572052,,-0.15,-0.4
1744316280.48404,-0.15,-0.4,,16.5645959377289,,-0.15,-0.4
1744316281.48545,-0.15,-0.4,,17.5660042762756,,-0.15,-0.4
1744316282.48716,-0.15,-0.4,,18.567715883255,,-0.15,-0.4
1744316283.48914,-0.15,-0.4,,19.5696930885315,,-0.15,-0.4
1744316284.49136,-0.15,-0.4,,20.5719141960144,,-0.15,-0.4
1744316285.49429,-0.15,-0.4,,21.5748393535614,,-0.15,-0.4
1744316286.49592,-0.15,-0.4,,22.5764684677124,,-0.15,-0.4
1744316287.49697,-0.15,-0.4,,23.5775213241577,,-0.15,-0.4
1744316288.49821,-0.15,-0.4,,24.578765630722,,-0.15,-0.4
1744316289.49976,-0.15,-0.4,,25.5803127288818,,-0.15,-0.4
1744316290.50086,-0.15,-0.4,,26.5814139842987,,-0.15,-0.4
1744316291.50173,-0.3,-0.3,,27.5822877883911,,-0.3,-0.3
1744316294.50575,0,0,,30.5863065719604,,0,0
