Time (sec),Position[2],Position[3],,,,,
1744147810.05978,-2.99836092970812E-14,-4.72734677571845E-14,,,,,
1744147810.06995,-7.19673578060537E-14,-4.70992803104915E-14,,,,,
1744147810.08107,-9.7919834735698E-14,-4.69958704218749E-14,,,,,
1744147810.09155,-1.10823935483713E-13,-4.69541943815435E-14,,,,,
1744147810.10256,-1.15006483021192E-13,-4.69715340810981E-14,,,,,
1744147810.11297,-1.14076455481836E-13,-4.70485319509837E-14,,,,,
1744147810.124,-1.10473792608949E-13,-4.71872773572068E-14,,,,,
1744147810.13442,-1.05671433686095E-13,-4.73903235687785E-14,,,,,
1744147810.14441,-1.00494259566998E-13,-4.76603542029163E-14,,,,,
1744147810.1552,-9.53755736014587E-14,-4.8000205424083E-14,,,,,
1744147810.16608,-9.05260203338174E-14,-4.84129216177689E-14,,,,,
1744147810.17684,-8.60342925975342E-14,-4.89018880968374E-14,,,,,
1744147810.18728,-8.19250366932343E-14,-4.94709165908664E-14,,,,,
1744147810.19756,-7.81907488576819E-14,-5.01243938089506E-14,,,,,
1744147810.20796,-7.48087733854405E-14,-5.08673555720258E-14,,,,,
1744147810.21831,-7.17506759903344E-14,-5.17055757174463E-14,,,,,
1744147810.22949,-6.8986892972785E-14,-5.26457153665195E-14,,,,,
1744147810.23928,-6.64889222839807E-14,-5.36954132927566E-14,,,,,
1744147810.24992,-6.42306668523693E-14,-5.48634690165149E-14,,,,,
1744147810.2602,-6.21885237050759E-14,-5.61599918014809E-14,,,,,
1744147810.27073,-6.03415420987903E-14,-5.75965717688784E-14,,,,,
1744147810.28185,-5.8671312985355E-14,-5.91864723975643E-14,,,,,
1744147810.29174,-5.7161590462577E-14,-6.0944951122611E-14,,,,,
1744147810.30252,-5.57982474845692E-14,-6.28893777301835E-14,,,,,
1744147810.31276,-5.4568939054345E-14,-6.50395389641396E-14,,,,,
1744147810.32339,-5.34628554594042E-14,-6.74179271406487E-14,,,,,
1744147810.33392,-5.24706379750144E-14,-7.0049790834643E-14,,,,,
1744147810.34394,-5.15841146441407E-14,-7.29630654908784E-14,,,,,
1744147810.35443,-5.07961579759113E-14,-7.618786189735E-14,,,,,
1744147810.36459,-5.01006312776098E-14,-7.97553807904967E-14,,,,,
1744147810.37495,-4.94921571775112E-14,-8.3694752622709E-14,,,,,
1744147810.38582,-4.89660647158159E-14,-8.80278560517265E-14,,,,,
1744147810.39654,-4.85183020663752E-14,-9.27580393106984E-14,,,,,
1744147810.40697,-4.81452962409295E-14,-9.78492500753043E-14,,,,,
1744147810.41685,-4.78438612571848E-14,-1.03186140184834E-13,,,,,
1744147810.42814,-4.7611036538479E-14,-1.08498950814633E-13,,,,,
1744147810.43883,-4.74439597910766E-14,-1.13223381405298E-13,,,,,
1744147810.4496,-4.73397435677518E-14,-1.16249402353871E-13,,,,,
